,val_loss
1020,"107.8445, "
1021,"105.8978, "
1022,"88.1152, "
1023,"124.2280, "
1024,"113.5416, "
1025,"127.3043, "
1026,"107.4676, "
1027,"97.4020, "
1028,"109.0923, "
1029,"116.6086, "
1030,"115.8080, "
1031,"97.0654, "
1032,"84.4644, "
1033,"124.9305, "
1034,"93.4666, "
1035,"96.6206, "
1036,"106.0083, "
1037,"102.4157, "
1038,"90.3259, "
1039,"114.2857, "
1040,"99.0095, "
1041,"111.5289, "
1042,"118.5340, "
1043,"103.4788, "
1044,"103.5125, "
1045,"106.9495, "
1046,"92.9855, "
1047,"114.2702, "
1048,"104.7473, "
1049,"101.0271, "
1050,"99.7086, "
1051,"107.7989, "
1052,"110.8210, "
1053,"103.7764, "
1054,"117.0873, "
1055,"106.9439, "
1056,"107.1893, "
1057,"117.5902, "
1058,"125.0554, "
1059,"110.4991, "
1060,"78.0112, "
1061,"79.7400, "
1062,"99.7252, "
1063,"102.0260, "
1064,"111.7768, "
1065,"108.4304, "
1066,"90.4738, "
1067,"90.4655, "
1068,"107.2829, "
1069,"88.0116, "
1070,"99.0512, "
1071,"121.7033, "
1072,"104.3298, "
1073,"95.5705, "
1074,"118.4725, "
1075,"104.7004, "
1076,"106.2584, "
1077,"83.2352, "
1078,"112.9636, "
1079,"118.6952, "
1080,"109.8344, "
1081,"105.1859, "
1082,"120.2775, "
1083,"110.5128, "
1084,"100.5978, "
1085,"112.0326, "
1086,"102.6678, "
1087,"126.6599, "
1088,"114.3296, "
1089,"96.6807, "
1090,"104.7874, "
1091,"100.8854, "
1092,"109.1446, "
1093,"100.7515, "
1094,"108.9307, "
1095,"99.1508, "
1096,"108.8309, "
1097,"120.1260, "
1098,"110.6962, "
1099,"94.8158, "
1100,"126.4062, "
1101,"106.7421, "
1102,"107.4848, "
1103,"114.1727, "
1104,"95.6901, "
1105,"85.1721, "
1106,"115.2358, "
1107,"110.5067, "
1108,"115.1659, "
1109,"103.0595, "
1110,"89.0381, "
1111,"108.4367, "
1112,"107.2698, "
1113,"113.7293, "
1114,"120.3478, "
1115,"105.1659, "
1116,"127.3496, "
1117,"103.4146, "
1118,"108.9811, "
1119,"92.3070, "
1120,"117.3546, "
1121,"107.0545, "
1122,"127.8639, "
1123,"116.1132, "
1124,"128.3815, "
1125,"113.9242, "
1126,"104.1509, "
1127,"100.0536, "
1128,"97.5273, "
1129,"112.8857, "
1130,"122.9562, "
1131,"97.4127, "
1132,"97.3361, "
1133,"93.5540, "
1134,"123.3733, "
1135,"119.0021, "
1136,"119.9909, "
1137,"107.3560, "
1138,"126.3775, "
1139,"102.1391, "
1140,"114.3510, "
1141,"122.6202, "
1142,"130.3310, "
1143,"88.8099, "
1144,"104.0528, "
1145,"108.8460, "
1146,"98.4164, "
1147,"101.1136, "
1148,"92.8597, "
1149,"99.2453, "
1150,"128.9676, "
1151,"94.4620, "
1152,"125.4162, "
1153,"108.0520, "
1154,"99.7795, "
1155,"97.3115, "
1156,"117.8815, "
1157,"108.1794, "
1158,"123.6028, "
1159,"111.4892, "
1160,"123.0780, "
1161,"104.8794, "
1162,"112.6396, "
1163,"103.0769, "
1164,"100.1130, "
1165,"115.3258, "
1166,"110.3177, "
1167,"115.7085, "
1168,"114.2010, "
1169,"105.0719, "
1170,"101.2734, "
1171,"117.4932, "
1172,"98.9688, "
1173,"82.4286, "
1174,"105.3706, "
1175,"104.4493, "
1176,"109.5243, "
1177,"101.7557, "
1178,"110.3865, "
1179,"78.9604, "
1180,"107.6961, "
1181,"110.3392, "
1182,"122.6234, "
1183,"101.4020, "
1184,"104.4614, "
1185,"110.9041, "
1186,"109.1476, "
1187,"112.2399, "
1188,"122.4954, "
1189,"100.6241, "
